codigo de barras;categoria;nombre completo;sabor o descripcion;peso tamanio;fabrica;unidad;caja;caja2;nombre unidad;nombre caja;nombre caja2;default
'7805000311346;PASTA DENTAL;PEPSODENT;PASTA DENTAL GRANDE ;130 g;;1;;;;;;
'7896451902894;PASTILLAS MENTOS;MINTY;CEREZA;17 g;SODOMIN;1;40;;;;;
'7896451902863;PASTILLAS MENTOS;MINTY;EXTRA FUERTE;17 g;SODOMIN;1;40;;;;;
'7896451907196;PASTILLAS MENTOS;MINTY;EXTRA FUERTE;29 g;SODOMIN;1;16;;;;;
'7896451908384;PASTILLAS MENTOS;MINTY;FRUTALES;17 g;SODOMIN;1;40;;;;;
'7896451907677;PASTILLAS MENTOS;MINTY;FRUTALES;29 g;SODOMIN;1;16;;;;;
'7896451902887;PASTILLAS MENTOS;MINTY;FRUTILLA;17 g;SODOMIN;1;40;;;;;
'7896451907202;PASTILLAS MENTOS;MINTY;STRAWBERRY;29 g;SODOMIN;1;16;;;;;
';PIPOCAS;ARLEQUIN;FRUTAS; 30 g;PIPO SAL;1;20;5;;;;
';PIPOCAS;BANANAS;BANANA;23 g;LA ESTRELLA;1;20;5;;;;
';PIPOCAS;PIPOCA CLAC;CARAMELIZADO;25 g;PIPO SAL;1;20;5;;;;
';PIPOCAS;COME COME;FRUTAS;30 g;LA ESTRELLA;1;20;5;;;;
';PIPOCAS;ESTRELLITAS ACIDAS FAMILIAR;FRUTAS;180 g;LA ESTRELLA;1;5;;;;;
';PIPOCAS;PI PO CAS;MANTEQUILLA;20 g;LA ESTRELLA;1;20;5;;;;
';PIPOCAS;PI PO CAS;MAIZ CON CHOCOLATE;23 g;LA ESTRELLA;1;20;5;;;;
';PIPOCAS;PI PO CAS;MAIZ CON CHOCOLATE FAMILIAR;90 g;LA ESTRELLA;1;5;;;;;
'7771701002558;PIPOCAS;PI PO CAS;MANTEQUILLA FAMILIAR;190 g;LA ESTRELLA;1;5;;;;;
';PIPOCAS;PIPO SAL;MANTEQUILLA;25 g;PIPO SAL;1;20;5;;;;
';PIPOCAS;PIPO SAL;MANTEQUILLA FAMILIAR;170 g;PIPO SAL;1;5;;;;;
';PIPOCAS;PIPOCA LUCANA;SALADA;16 g;LUCANA;1;50;;;;;
';PIPOCAS;PIPOCA LUCANA;SALADA FAMILIAR;100 g;LUCANA;1;20;;;;;
';PIPOCAS;POP CHOC;CHOCOLATE;25 g;PIPO SAL;1;20;5;;;;
'7771258280072;PIPOCAS;POP PIPOCA;MANTEQUILLA;25 g;FRUTILLITA;1;50;;;;;
'7771258280140;PIPOCAS;POP PIPOCA;MANTEQUILLA FAMILIAR;90 g;FRUTILLITA;1;15;;;;;
';PIPOCAS BANANITO;TROPI BANANOS;BANANA;30 g;PIPO SAL;1;20;5;;;;
';PIPOCAS CHISITO;CHEESE TWIST;PALITOS DE MAIZ SABOR QUESO;30 g;PIPO SAL;1;20;5;;;;
';PIPOCAS CHISITO;CHIZITOS;PEQUEÑO;23 g;LA ESTRELLA;1;20;5;;;;
';PIPOCAS CHISITO;CHIZITOS;FAMILIAR;190 g;LA ESTRELLA;1;5;;;;;
';PIPOCAS CHISITO;CHIZITOS;PEQUEÑO PICANTE;23 g;LA ESTRELLA;1;20;5;;;;
';PIPOCAS CHISITO;TRON CHEESE;QUESO;30 g;EVERFOOD SNACKS;1;10;10;;;;
';PIPOCAS CHISITO;TRON CHEESE;QUESO FAMILIAR;160 g;EVERFOOD SNACKS;1;15;;;;;
'7750885021128;QUEQUES;CHOCMAN;RELLENA DE MANJAR Y COBERTURA DE CHOCOLATE;28 g;PROESA;1;60;;;;;
'7771214002564;SALSAS;KETCHUP KRIS;SACHET MEDIANO;200 g;VENADO;1;24;;;;;
'7771214001383;SALSAS;KETCHUP KRIS;SACHET PEQUEÑO;47 g;VENADO;1;25;;;;;
'7771214002571;SALSAS;MAYONESA KRIS;SACHET MEDIANO;225 g;VENADO;1;24;;;;;
'7771214001109;SALSAS;MAYONESA KRIS;SACHET PEQUEÑO;47 g;VENADO;1;25;;;;;
'7771214005244;SALSAS;MAYONESA KRIS;PICANTE SACHET PEQUEÑO;47 g;VENADO;1;25;;;;;
'7771214002588;SALSAS;MOSTAZA KRIS SACHET MEDIANO;SACHET MEDIANO;200 g;VENADO;1;24;;;;;
'7771214001390;SALSAS;MOSTAZA KRIS SACHET PEQUEÑO;SACHET PEQUEÑO;47 g;VENADO;1;25;;;;;
'7770016810025;SALSAS;SALSA SOYA CHAWEI;MEDIANA;500 g;;1;24;;;;;
'7770016810032;SALSAS;SALSA SOYA CHAWEI; PEQUEÑA;250 ml;;1;;;;;;
';SHAMPOO;SHAMPOO BALLERINA;ALOE VERA;750 ml;PROESA;1;12;;;;;
';SHAMPOO;SHAMPOO BALLERINA;BEBE;750 ml;PROESA;1;12;;;;;
'7804920003201;SHAMPOO;SHAMPOO BALLERINA;GRANADA;750 ml;PROESA;1;12;;;;;
';SHAMPOO;SHAMPOO BALLERINA;MANZANILLA;750 ml;PROESA;1;12;;;;;
'7804920003225;SHAMPOO;SHAMPOO BALLERINA;PALTA;750 ml;PROESA;1;12;;;;;
'7774904380294;SHAMPOO;SHAMPOO CARISSA; ANTICAIDA;800 ml;LURI;1;12;;;;;
'7774904380010;SHAMPOO;SHAMPOO CARISSA;ALOE VERA;125 g;LURI;1;12;;;;;
'7779970677996;SHAMPOO;SHAMPOO SEDAL AZUL BOLSA TAPA;ZERO CASPA;850 ml;UNILEVER;1;12;;;;;
'7506306222021;SHAMPOO;SHAMPOO SEDAL BOTELLA;CONTROL CASPA ALOE VERA;650 ml;UNILEVER;1;12;;;;;
';SNACKS;BACON;FAMILIAR;185 g;EVERFOOD SNACKS;1;15;;;;;
';SNACKS;BACON;FAMILIAR PICANTE;185 g;EVERFOOD SNACKS;1;15;;;;;
';SNACKS;BACON;TIRA;24 g ;EVERFOOD SNACKS;1;10;10;;;;
';SNACKS;BACON;TIRA PICANTE;24 g ;EVERFOOD SNACKS;1;10;10;;;;
';SNACKS CHICHARRON;MIX SNACKS CROCANTES;PALITOS FRITOS DE HARINA DE TRIGO;20 g;FRUTILLITA;1;10;10;;;;
';SNACKS CHICHARRON;MIX SNACKS CROCANTES FAMILIAR;PALITOS FRITOS DE HARINA DE TRIGO;200 g;FRUTILLITA;1;10;;;;;
';SNACKS CHICHARRON;RICORRONES;LONJITAS DE PIEL DE CERDO;15 g;EVERFOOD SNACKS;1;10;10;;;;
';SNACKS NACHOS;KE PADRE;NACHOS;35 g;EVERFOOD SNACKS;1;10;10;;;;
'7770016890065;SNACKS NACHOS;NACHOS DE MAIZ;CON PICANTE;35 g;ORGANICA DEL SUR;1;50;;;;;
'7770016890072;SNACKS NACHOS;NACHOS DE MAIZ;SIN PICANTE;35 g;ORGANICA DEL SUR;1;50;;;;;
'7770016892007;SNACKS PAPAS;BOLIVAR;CLASICO;20 g;ORGANICA DEL SUR;1;12;4;;;;
'7770016892021;SNACKS PAPAS;BOLIVAR;CLASICO FAMILIAR;200 g;ORGANICA DEL SUR;1;30;;;;;
'7758574005558;SNACKS PAPAS;LAYS;CLASICO;170 g;CRUCIMEX;1;20;;;;;
'7770016892199;SNACKS PAPAS;PAPAS GOURMET;CHURRASCO;26 g;ORGANICA DEL SUR;1;10;3;;;;
';SNACKS PAPAS;PAPAS GOURMET;HAMBURGUESA;26 g;ORGANICA DEL SUR;1;10;3;;;;
'7770016892670;SNACKS PAPAS;SABROSITAS SNACKS;CON PICANTE;20 g;ORGANICA DEL SUR;1;50;;;;;
'7770016891901;SNACKS PAPAS;SABROSITAS SNACKS;SIN PICANTE;20 g;ORGANICA DEL SUR;1;50;;;;;
'7770016892700;SNACKS PAPAS;SABROSITAS SNACKS FAMILIAR;CON PICANTE;200 g;ORGANICA DEL SUR;1;30;;;;;
'7770016892441;SNACKS PAPAS;SABROSITAS SNACKS FAMILIAR;SIN PICANTE;200 g;ORGANICA DEL SUR;1;30;;;;;
';TOALLA HIGIENICA;KOTEX;NORMAL EXTREMA PROTECCION;;;1;6;8;;;;
'7702027041622;TOALLA HIGIENICA;NOSOTRAS;INVISBLE CLASICA;;;1;24;;;;;
'7702027416330;TOALLA HIGIENICA;NOSOTRAS;INVISBLE RAPIGEL;;;1;24;;;;;
'7702026180812;TOALLA HIGIENICA;NOSOTRAS;PROTECCION ANTIBACTERIAL;;;1;24;;;;;
'7771224009812;YOGURTS;YOGURT CHIQUI DRINK;FRUTILLA;100 ml;DELIZIA;1;11;;;;;
'7779604010847;YOGURTS;YOGURT BOTELLA KREAM;BERRIES;2 L;SOALPRO;1;6;;;;;
'7779604010434;YOGURTS;YOGURT BOTELLA KREAM;CHIRIMOYA;2 L;SOALPRO;1;6;;;;;
'7779604010441;YOGURTS;YOGURT BOTELLA KREAM;COCO;2 L;SOALPRO;1;6;;;;;
'7779604010427;YOGURTS;YOGURT BOTELLA KREAM;DURAZNO;2 L;SOALPRO;1;6;;;;;
'7779604010410;YOGURTS;YOGURT BOTELLA KREAM;FRUTILLA;2 L;SOALPRO;1;6;;;;;
'7779604012681;YOGURTS;YOGU STARS;CHICLE;60 ml;SOALPRO;1;20;;;;;
';YOGURTS;YOGU STARS;CHIRIMOYA;60 ml;SOALPRO;1;20;;;;;
'7779604012667;YOGURTS;YOGU STARS;FRUTILLA;60 ml;SOALPRO;1;20;;;;;
'7779604012889;YOGURTS;YOGU STARS;PINIA;60 ml;SOALPRO;1;20;;;;;
'7779604012674;YOGURTS;YOGU STARS;UVA Y MORA;60 ml;SOALPRO;1;20;;;;;
';YOGURTS;YOGURELLO ESCOLAR;BLUEBERRY;95 ml;PIL;1;;;;;;
';YOGURTS;YOGURELLO ESCOLAR;CHICLE;95 ml;PIL;1;;;;;;
'7771259755722;YOGURTS;YOGURELLO ESCOLAR;FRUTILLA;95 ml;PIL;1;;;;;;
';YOGURTS;YOGURT BATIDO FRUTADO;EN VASO;90 g;PIL;1;;;;;;
